,Unnamed: 0,tweet_text,sentiment,emojis
0,125,Se você pudesse trocar sua vida com qualquer celebridade por um dia quem seria e o que você faria? 🤩😏 — Bolsonaro celebridade eu me mataria ) https//t.co/3OakGV3St5,1,"['🤩', '😏']"
1,429,cmilarioss a pronto +1 pra enche o cu dos burgues e EU FICO SEM CANDIDATO porra ciro ( mas de qualquer forma obrigada camila 💓,0,['💓']
2,543,Uma coisa que não gostava de discutir era política e gostava menos ainda do Bolsonaro hj tô aqui usando meu tt para os 2 ) 💚💛💙,1,"['💚', '💛', '💙']"
3,545,Licença Poética? 😂🤣 Fragmento da música abaixo 👉 Na terceira pedra um premio de consolação leva um crioulo bicha e uma branca sapatão 👈 Imagina se o Bolsonaro cantarolar isso? D https//t.co/DTnNowpEtp,1,"['😂', '🤣', '👉', '👈']"
4,574,https//t.co/tVsMCC5xPj gente lembra de qnd falei sobre o João Amoedo e as propostas dele? então ele n é mt visível e n tem mtas intenções de voto por isso n vai participar dos debates ( assinem aí pra ele poder participar 💖,0,['💖']
5,798,AdryelGomas A primeira temporada sim! D corre lá assistir ♥,1,['♥']
6,906,Boa Tarde! Há aqui quem sofra com a barriga inchada? ( Descobre estas dicas que vão ajudar-te a resolver o problema! 🤔 https//t.co/TDfhE3QITd https//t.co/TDfhE3QITd,0,['🤔']
7,931,E porque hoje é DiaMundialdoGato tinhas conhecimento de todos os benefícios de ter um gato em casa? 🐈🏠 Partilha connosco uma foto do teu gato(a) em comentário vamos adorar conhecer o teu fiel companheiro D | https//t.co/fdvqtmvbio | gato gatos bolasdepelo https//t.co/M4z5Wnyp9l,1,"['🐈', '🏠']"
8,1007,ailsonPsantos Crunchyroll_PT Assista ReZero DUBLADO na Crunchyroll TV! Todas as terças-feiras às 22h na Rede Brasil! Os episódios são disponibilizados toda quarta-feira no site e aplicativos 😉 ),1,['😉']
9,1108,https//t.co/ESrdOIsF62 gilbs05 ÉS ENORME! 💙 meu obra ( voa muito! 💙,0,"['💙', '💙']"
10,1466,❤ nao tem como esquecer voce ❤ olha q eu fiz tantas coisas ❤ bebi pra crl dei ate pt ❤ outras coisas ai ❤ mas voce nao sai ❤ da minha cabeç ❤ a assim o meu core não aguenta (,0,"['❤', '❤', '❤', '❤', '❤', '❤', '❤']"
11,1497,aguedescartoon an_dre_sil_va VampiroSemXarme jairbolsonaro geraldoalckmin Eu sei Quando respondi  não foi pra vc mas pros esquerdistas que me seguem. (COMUNISTAS de plantão) ) Vendo o siro na GloboNews falando que vai botar o corruPTo do Carlos Lupi no ministério do trabalho coitado dos trabalhadores. 😂😂😂😂😂😂 O povo só leva na cara.,1,"['😂', '😂', '😂', '😂', '😂', '😂']"
12,1559,jairbolsonaro Tá na lei!!! ) Relaxa mito tipo com aquela cara de paisagem “ooo a polícia tem que atirar menos né? 😂😂 Por que que todos não doam o auxílio e salários né? Só você?,1,"['😂', '😂']"
13,1577,Você é a favor ou contra a legalização de certas drogas? 🙄 — meu trabalho de filosofia sobre politica aristotelica foi baseado na legalização da maconha entao ) https//t.co/OslzIK5pfT,1,['🙄']
14,1620,ManuelaDavila AnaPaulaVolei Humm.. ) kkkkkkkkk.. ) O mito vem aí.. ) Mourão vai pegá.. ) 😎😆😆😆😆😆🤣,1,"['😎', '😆', '😆', '😆', '😆', '😆', '🤣']"
15,1756,É bronca ) Armando Monteiro representa renovação política diz Mendonça Filho... que quer eleger tb o filho e a irmã nas eleições 🤘🏽🤘🏽 https//t.co/V79w1g959n,1,"['🤘', '🏽', '🤘', '🏽']"
16,1810,nao me deixem flopar é so votar vai (( 🌻— gosto de você 🍌— não gosto de você 💛— crush 🐣— queria amigar,0,"['🌻', '🍌', '💛', '🐣']"
17,1820,mingauzi oohllena Só pra resumir algumas fake news desinformações e mensagens de ódios envolviam os nomes dos meninos isso preocupou muito alguns de nós e queríamos partilhar o amor que o QMN nos deu ao invés de incitar ódio e violência. ) Espero ter ajudado 💛,1,['💛']
18,1852,Sobre a eleição ser bem no dia do meu aniversário... vou perder as tretas na internet que bad ( 😂😂😂,0,"['😂', '😂', '😂']"
